Verdict,Speaker,Text,Speaker_title,Speaker_party,File_id,Sentence_id,Length,Line_number,Sentiment,Checked? ,CNN,Reuters,AP News,NYT,Atlantic,Politifact,WashPost,Fact Check,times fact-checked
-1,Romney,And thank you for agreeing to moderate this debate this evening.,Governor,REPUBLICAN,2012-10-22.txt,26902,11,42,0.857208,0,0,0,0,0,0,0,0,0,0
-1,Romney,Thank you to Lynn University for welcoming us here.,Governor,REPUBLICAN,2012-10-22.txt,26903,9,43,0.853587,0,0,0,0,0,0,0,0,0,0
-1,Romney,"And Mr. President, it's good to be with you again.",Governor,REPUBLICAN,2012-10-22.txt,26904,10,44,0.445012,0,0,0,0,0,0,0,0,0,0
0,Romney,"We were together at a humorous event a little earlier, and it's nice to maybe funny this time, not on purpose.",Governor,REPUBLICAN,2012-10-22.txt,26905,21,45,0.426666,0,0,0,0,0,0,0,0,0,0
-1,Romney,"This is obviously an area of great concern to the entire world, and to America in particular, which is to see a -- a complete change in the -- the structure and the -- the environment in the Middle East.",Governor,REPUBLICAN,2012-10-22.txt,26907,40,47,0.733874,0,0,0,0,0,0,0,0,0,0
-1,Romney,"With the Arab Spring, came a great deal of hope that there would be a change towards more moderation, and opportunity for greater participation on the part of women in public life, and in economic life in the Middle East.",Governor,REPUBLICAN,2012-10-22.txt,26908,40,48,0.763528,0,0,0,0,0,0,0,0,0,0
-1,Romney,"But instead, we've seen in nation after nation, a number of disturbing events.",Governor,REPUBLICAN,2012-10-22.txt,26909,13,49,0,0,0,0,0,0,0,0,0,0,0
1,Romney,"Of course we see in Syria, 30,000 civilians having been killed by the military there.",Governor,REPUBLICAN,2012-10-22.txt,26910,15,50,-0.239732,0,0,0,0,0,0,0,0,0,0
1,Romney,"We see in -- in Libya, an attack apparently by, I think we know now, by terrorists of some kind against -- against our people there, four people dead.",Governor,REPUBLICAN,2012-10-22.txt,26911,29,51,-0.730436,0,0,0,0,0,0,0,0,0,0
-1,Romney,Our hearts and -- and minds go out to them.,Governor,REPUBLICAN,2012-10-22.txt,26912,10,52,0.542522,0,0,0,0,0,0,0,0,0,0
1,Romney,"Mali has been taken over, the northern part of Mali by al-Qaeda type individuals.",Governor,REPUBLICAN,2012-10-22.txt,26913,14,53,0,0,0,0,0,0,0,0,0,0,0
1,Romney,"We have in -- in Egypt, a Muslim Brotherhood president.",Governor,REPUBLICAN,2012-10-22.txt,26914,10,54,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,And so what we're seeing is a pretty dramatic reversal in the kind of hopes we had for that region.,Governor,REPUBLICAN,2012-10-22.txt,26915,20,55,0.966738,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Of course the greatest threat of all is Iran, four years closer to a nuclear weapon.",Governor,REPUBLICAN,2012-10-22.txt,26916,16,56,-0.470511,0,0,0,0,0,0,0,0,0,0
-1,Romney,And -- and we're going to have to recognize that we have to do as the president has done.,Governor,REPUBLICAN,2012-10-22.txt,26917,19,57,0.214882,0,0,0,0,0,0,0,0,0,0
0,Romney,I congratulate him on -- on taking out Osama bin Laden and going after the leadership in al-Qaeda.,Governor,REPUBLICAN,2012-10-22.txt,26918,18,58,-0.505632,0,0,0,0,0,0,0,0,0,0
-1,Romney,But we can't kill our way out of this mess.,Governor,REPUBLICAN,2012-10-22.txt,26919,10,59,-0.872934,0,0,0,0,0,0,0,0,0,0
-1,Romney,"We're going to have to put in place a very comprehensive and robust strategy to help the -- the world of Islam and other parts of the world, reject this radical violent extremism, which is -- it's certainly not on the run.",Governor,REPUBLICAN,2012-10-22.txt,26920,42,60,0.274247,0,0,0,0,0,0,0,0,0,0
1,Romney,"This is a group that is now involved in 10 or 12 countries, and it presents an enormous threat to our friends, to the world, to America, long term, and we must have a comprehensive strategy to help reject this kind of extremism.",Governor,REPUBLICAN,2012-10-22.txt,26922,43,62,0,1,1,0,0,1,0,0,0,0,2
-1,Obama,"Well, my first job as commander in chief, Bob, is to keep the American people safe.",President,DEMOCRAT,2012-10-22.txt,26924,16,64,0.776777,0,0,0,0,0,0,0,0,0,0
0,Obama,And that's what we've done over the last four years.,President,DEMOCRAT,2012-10-22.txt,26925,10,65,0,0,0,0,0,0,0,0,0,0,0
0,Obama,"We ended the war in Iraq, refocused our attention on those who actually killed us on 9/11.",President,DEMOCRAT,2012-10-22.txt,26926,17,66,-0.628749,0,0,0,0,0,0,0,0,0,0
1,Obama,"And as a consequence, Al Qaeda's core leadership has been decimated.",President,DEMOCRAT,2012-10-22.txt,26927,11,67,-0.679828,1,1,0,0,1,0,0,0,0,2
-1,Obama,"In addition, we're now able to transition out of Afghanistan in a responsible way, making sure that Afghans take responsibility for their own security.",President,DEMOCRAT,2012-10-22.txt,26928,24,68,0,1,0,0,0,1,0,0,0,0,1
-1,Obama,And that allows us also to rebuild alliances and make friends around the world to combat future threats.,President,DEMOCRAT,2012-10-22.txt,26929,18,69,-0.358599,0,0,0,0,0,0,0,0,0,0
1,Obama,"Now with respect to Libya, as I indicated in the last debate, when we received that phone call, I immediately made sure that, number one, that we did everything we could to secure those Americans who were still in harm's way; number two, that we would investigate exactly what happened, and number three, most importantly, that we would go after those who killed Americans and we would bring them to justice.",President,DEMOCRAT,2012-10-22.txt,26930,71,70,0.54404,0,0,0,0,0,0,0,0,0,0
-1,Obama,And that's exactly what we're going to do.,President,DEMOCRAT,2012-10-22.txt,26931,8,71,0.617075,0,0,0,0,0,0,0,0,0,0
-1,Obama,But I think it's important to step back and think about what happened in Libya.,President,DEMOCRAT,2012-10-22.txt,26932,15,72,0,0,0,0,0,0,0,0,0,0,0
1,Obama,"Keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in Iraq, liberate a country that had been under the yoke of dictatorship for 40 years.",President,DEMOCRAT,2012-10-22.txt,26933,56,73,-0.247087,1,1,0,0,0,0,0,0,0,1
1,Obama,"Got rid of a despot who had killed Americans and as a consequence, despite this tragedy, you had tens of thousands of Libyans after the events in Benghazi marching and saying America is our friend.",President,DEMOCRAT,2012-10-22.txt,26934,35,74,-0.52061,0,0,0,0,0,0,0,0,0,0
-1,Obama,Now that represents the opportunity we have to take advantage of.,President,DEMOCRAT,2012-10-22.txt,26936,11,76,0.733764,0,0,0,0,0,0,0,0,0,0
-1,Obama,"And, you know, Governor Romney, I'm glad that you agree that we have been successful in going after Al Qaida, but I have to tell you that, you know, your strategy previously has been one that has been all over the map and is not designed to keep Americans safe or to build on the opportunities that exist in the Middle East.",President,DEMOCRAT,2012-10-22.txt,26937,62,77,0.552122,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Well, my strategy is pretty straightforward, which is to go after the bad guys, to make sure we do our very best to interrupt them, to -- to kill them, to take them out of the picture.",Governor,REPUBLICAN,2012-10-22.txt,26938,37,78,-0.481267,0,0,0,0,0,0,0,0,0,0
-1,Romney,But my strategy is broader than that.,Governor,REPUBLICAN,2012-10-22.txt,26939,7,79,0.712825,0,0,0,0,0,0,0,0,0,0
-1,Romney,"That's -- that's important, of course.",Governor,REPUBLICAN,2012-10-22.txt,26940,6,80,0.684893,0,0,0,0,0,0,0,0,0,0
-1,Romney,But the key that we're going to have to pursue is a -- is a pathway to get the Muslim world to be able to reject extremism on its own.,Governor,REPUBLICAN,2012-10-22.txt,26941,30,81,-0.392107,0,0,0,0,0,0,0,0,0,0
-1,Romney,"We don't want another Iraq, we don't want another Afghanistan.",Governor,REPUBLICAN,2012-10-22.txt,26942,10,82,-0.207114,0,0,0,0,0,0,0,0,0,0
-1,Romney,That's not the right course for us.,Governor,REPUBLICAN,2012-10-22.txt,26943,7,83,-0.482074,0,0,0,0,0,0,0,0,0,0
-1,Romney,"The right course for us is to make sure that we go after the -- the people who are leaders of these various anti-American groups and these -- these jihadists, but also help the Muslim world.",Governor,REPUBLICAN,2012-10-22.txt,26944,36,84,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,And how do we do that?,Governor,REPUBLICAN,2012-10-22.txt,26945,6,85,0.203916,0,0,0,0,0,0,0,0,0,0
0,Romney,"A group of Arab scholars came together, organized by the U.N., to look at how we can help the -- the world reject these -- these terrorists.",Governor,REPUBLICAN,2012-10-22.txt,26946,27,86,-0.659654,0,0,0,0,0,0,0,0,0,0
-1,Romney,And the answer they came up with was this:,Governor,REPUBLICAN,2012-10-22.txt,26947,9,87,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,"We should key our foreign aid, our direct foreign investment, and that of our friends, we should coordinate it to make sure that we -- we push back and give them more economic development.",Governor,REPUBLICAN,2012-10-22.txt,26949,34,89,0.775551,0,0,0,0,0,0,0,0,0,0
-1,Romney,"Number four, the rule of law.",Governor,REPUBLICAN,2012-10-22.txt,26952,6,92,-0.219188,0,0,0,0,0,0,0,0,0,0
-1,Romney,We have to help these nations create civil societies.,Governor,REPUBLICAN,2012-10-22.txt,26953,9,93,0,0,0,0,0,0,0,0,0,0,0
1,Romney,"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.",Governor,REPUBLICAN,2012-10-22.txt,26954,39,94,-0.643143,0,0,0,0,0,0,0,0,0,0
0,Romney,And -- and they're throughout many nations in the Middle East.,Governor,REPUBLICAN,2012-10-22.txt,26955,11,95,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,"It's wonderful that Libya seems to be making some progress, despite this terrible tragedy.",Governor,REPUBLICAN,2012-10-22.txt,26956,14,96,0.376607,0,0,0,0,0,0,0,0,0,0
0,Romney,"But next door, of course, we have Egypt.",Governor,REPUBLICAN,2012-10-22.txt,26957,8,97,0,0,0,0,0,0,0,0,0,0,0
1,Romney,"Libya's 6 million population; Egypt, 80 million population.",Governor,REPUBLICAN,2012-10-22.txt,26958,8,98,0,0,0,0,0,0,0,0,0,0,0
-1,Romney,We want -- we want to make sure that we're seeing progress throughout the Middle East.,Governor,REPUBLICAN,2012-10-22.txt,26959,16,99,0.716202,0,0,0,0,0,0,0,0,0,0
1,Romney,"With Mali now having North Mali taken over by Al Qaida; with Syria having Assad continuing to -- to kill, to murder his own people, this is a region in tumult.",Governor,REPUBLICAN,2012-10-22.txt,26960,31,100,-0.735286,0,0,0,0,0,0,0,0,0,0
1,Romney,"And, of course, Iran on the path to a nuclear weapon, we've got real (inaudible).",Governor,REPUBLICAN,2012-10-22.txt,26961,15,101,-0.443682,0,0,0,0,0,0,0,0,0,0
