"Sentence_id","Text","Speaker","Speaker_title","Speaker_party","File_id","Length","Line_number","Sentiment","Verdict"
26902,"And thank you for agreeing to moderate this debate this evening.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",11,42,0.857208,-1
26903,"Thank you to Lynn University for welcoming us here.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",9,43,0.853587,-1
26904,"And Mr. President, it's good to be with you again.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",10,44,0.445012,-1
26905,"We were together at a humorous event a little earlier, and it's nice to maybe funny this time, not on purpose.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",21,45,0.426666,0
26907,"This is obviously an area of great concern to the entire world, and to America in particular, which is to see a -- a complete change in the -- the structure and the -- the environment in the Middle East.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",40,47,0.733874,-1
26908,"With the Arab Spring, came a great deal of hope that there would be a change towards more moderation, and opportunity for greater participation on the part of women in public life, and in economic life in the Middle East.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",40,48,0.763528,-1
26909,"But instead, we've seen in nation after nation, a number of disturbing events.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",13,49,0,-1
26910,"Of course we see in Syria, 30,000 civilians having been killed by the military there.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",15,50,-0.239732,1
26911,"We see in -- in Libya, an attack apparently by, I think we know now, by terrorists of some kind against -- against our people there, four people dead.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",29,51,-0.730436,1
26912,"Our hearts and -- and minds go out to them.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",10,52,0.542522,-1
26913,"Mali has been taken over, the northern part of Mali by al-Qaeda type individuals.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",14,53,0,1
26914,"We have in -- in Egypt, a Muslim Brotherhood president.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",10,54,0,1
26915,"And so what we're seeing is a pretty dramatic reversal in the kind of hopes we had for that region.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",20,55,0.966738,-1
26916,"Of course the greatest threat of all is Iran, four years closer to a nuclear weapon.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",16,56,-0.470511,-1
26917,"And -- and we're going to have to recognize that we have to do as the president has done.","Mitt Romney","Governor","REPUBLICAN","2012-10-22.txt",19,57,0.214882,-1
